NAME,CPF,BIRTHDATE,INCOME,CHILDREN
ACIR GURGACZ,54454113629,25/02/1962,"10,000",1
ALESSANDRO VIEIRA,41874553530,3/4/75,"12,000",3
ALVARO DIAS,48134043755,7/12/44,"14,000",2
ANGELO CORONEL,8756444575,3/5/58,"18,000",4
ANTONIO ANASTASIA,52872401555,9/5/61,"50,000",1
CARLOS FÁVARO,75303441458,19/10/1969,"15,000",0
CARLOS PORTINHO,62866411145,2/7/73,"14,000",1
CARLOS VIANA,64770350147,22/03/1963,"18,000",0
CHICO RODRIGUES,55301061372,23/04/1951,"50,000",5
CHIQUINHO FEITOSA,86885821810,3/7/64,"15,000",1
CID GOMES,54567126106,27/04/1963,"140,000",3
DANIELLA RIBEIRO,77401007061,26/03/1972,"10,000",2
DARIO BERGER,58882373533,7/12/56,"12,000",4
DAVI ALCOLUMBRE,67786501681,19/06/1977,"5,000,000",1
EDUARDO BRAGA,41311418172,6/12/60,"18,000",0
EDUARDO GIRÃO,67375305161,25/09/1972,"50,000",1
EDUARDO GOMES,75000233166,28/04/1966,"15,000",0
ELIANE NOGUEIRA,20323855466,3/7/49,"14,000",7
ELIZIANE GAMA,33480480101,27/02/1977,"18,000",2
ELMANO FÉRRER,86604336298,1/8/42,"50,000",3
ESPERIDIÃO AMIN,41337266000,21/12/1947,"15,000",1
FABIANO CONTARATO,21710073110,20/06/1966,"15,000",1
FERNANDO BEZERRA COELHO,13558740173,7/12/57,"14,000",3
FERNANDO COLLOR,37105758503,12/8/49,"500,000",2
FLÁVIO ARNS,50767572041,9/11/50,"50,000",4
FLÁVIO BOLSONARO,6137813258,30/04/1981,"1,000,000",1
GIORDANO,13727735767,26/06/1973,"15,000",0
HUMBERTO COSTA,38563766074,7/7/57,"14,000",1
IRAJÁ,63842316542,3/2/83,"18,000",0
IZALCI LUCAS,87704112120,7/4/56,"50,000",1
JADER BARBALHO,67400244213,27/10/1944,"150,000",3
JAQUES WAGNER,66106004650,16/03/1951,"15,000",2
JARBAS VASCONCELOS,3702171444,23/08/1942,"15,000",4
JAYME CAMPOS,1282265288,13/09/1951,"14,000",1
JEAN PAUL PRATES,61243878240,19/06/1968,"18,000",0
JORGE KAJURU,1706410239,20/01/1961,"50,000",1
JORGINHO MELLO,51235707130,15/07/1956,"15,000",0
JOSÉ ANIBAL,12142638600,9/8/47,"15,000",5
KATIA ABREU,4887121652,2/2/62,"14,000",1
LASIER MARTINS,5723413180,14/04/1942,"15,000",3
LEILA BARROS,30850307783,30/09/1971,"600,000",2
LUCAS BARRETO,50617485062,10/11/64,"18,000",4
LUIS CARLOS HEINZE,70160226848,14/09/1950,"50,000",1
LUIZ DO CARMO,34808062798,2/4/58,"150,000",0
MAILZA GOMES,72074853874,10/12/76,"15,000",1
MARA GABRILLI,36361374688,28/09/1967,"15,000",0
MARCELO CASTRO,17274630725,9/6/50,"14,000",7
MARCIO BITTAR,862783470,28/06/1963,"18,000",2
MARCOS DO VAL,7543685647,15/06/1971,"10,000",3
MARCOS ROGÉRIO,61073201309,7/7/78,"15,000",1
MARIA DO CARMO ALVES,67278812518,23/08/1941,"15,000",1
MARIA ELIZA,52636733027,17/07/1955,"14,000",3
MECIAS DE JESUS,58512234563,8/2/62,"15,000",2
NELSINHO TRAD FILHO,74838163258,5/9/61,"15,000",4
NILDA GONDIM,50848253531,30/03/1946,"14,000",1
OMAR AZIZ,32153203040,13/08/1958,"600,000",0
ORIOVISTO GUIMARÃES,14503688243,12/8/45,"50,000",1
OTTO ALENCAR,40001568370,28/08/1947,"15,000",0
PAULO PAIM,6471765720,15/03/1950,"15,000",3
PAULO ROCHA,124236022,1/4/51,"14,000",2
PLÍNIO VALÉRIO,48487353002,31/01/1955,"15,000",4
RANDOLFE RODRIGUES,57015865530,6/11/72,"150,000",1
REGUFFE,83208717350,5/9/72,"15,000",0
RENAN CALHEIROS,63365165479,16/09/1955,"2,000,000",1
ROBERTO ROCHA,57583860229,4/8/65,"18,000",0
RODRIGO CUNHA,31817648330,11/5/81,"10,000",7
RODRIGO PACHECO,20576145491,3/11/76,"15,000",2
ROGÉRIO CARVALHO,82677305593,2/8/68,"15,000",3
ROMÁRIO,40406570124,29/01/1966,"700,000",1
ROSE DE FREITAS,81848787103,23/01/1949,"15,000",1
SÉRGIO PETECÃO,35553753775,20/04/1960,"15,000",3
SIMONE TEBET,28717025273,22/02/1970,"14,000",2
SORAYA THRONICKE,80344874494,1/6/73,"50,000",4
STYVENSON VALENTIM,2508405027,7/2/77,"15,000",1
TELMÁRIO MOTA,75136700130,15/02/1958,"15,000",0
VANDERLAN CARDOSO,54454113629,15/11/1962,"14,000",1
VENEZIANO VITAL DO RÊGO,41874553530,17/07/1970,"15,000",0
WELLINGTON FAGUNDES,48134043755,1/6/57,"150,000",1
WEVERTON,8756444575,8/10/79,"15,000",3
ZENAIDE MAIA,52872401555,27/11/1954,"150,000",2
ZEQUINHA MARINHO,75303441458,18/09/1959,"15,000",4
